"User has no internet. You run ipconfig and see IPv4 Address: 169.254.34.12. What does that MOST likely indicate?

A. DNS server outage
B. The client did not receive a DHCP lease
C. The default gateway is wrong
D. The NIC driver is corrupt","Correct Answer: B

Command(s) to run:
ipconfig
ipconfig /all

What it checks:
Confirms APIPA (169.254.x.x) and shows whether DHCP is enabled on the adapter.

Why it works:
APIPA is self-assigned when the client cannot obtain a DHCP lease.

Success indicates:
DHCP Enabled = Yes and IPv4 is 169.254.x.x (no valid lease).

Failure indicates:
DHCP is not reachable (wrong VLAN/SSID/port), scope exhausted, relay missing, or DHCP disabled on the client.

Common pitfall:
Jumping to DNS troubleshooting before confirming the client has a valid lease.

Next best step:
Run `ipconfig /release` then `ipconfig /renew`, then re-check `ipconfig /all`.","dhcp::apipa dhcp::basics msp::scenario difficulty::tier2"
"After confirming a 169.254.x.x address, what is the BEST immediate action on the client?

A. ipconfig /flushdns
B. ipconfig /release then ipconfig /renew
C. nslookup google.com
D. Disable and re-enable the firewall","Correct Answer: B

Command(s) to run:
ipconfig /release
ipconfig /renew
ipconfig /all

What it checks:
Forces a new DHCP request and confirms resulting lease details (gateway/DNS/DHCP server).

Why it works:
This directly tests whether the client can reach DHCP and obtain a lease.

Success indicates:
Client receives a valid IP (not 169.254), gateway and DNS populated, DHCP Server shown.

Failure indicates:
Renew fails or returns APIPA again, pointing to DHCP reachability, VLAN/SSID, scope exhaustion, or blocked DHCP traffic.

Common pitfall:
Only running /renew without checking the final lease details in ipconfig /all.","dhcp::apipa dhcp::lease msp::scenario difficulty::tier2"
"ipconfig /all shows 'DHCP Enabled: No' and the user has a bad IP configuration. What is the MOST likely issue?

A. DNS misconfiguration
B. Adapter is set to static / not set to obtain IP automatically
C. DHCP scope is exhausted
D. Router is down","Correct Answer: B

Command(s) to run:
ipconfig /all

What it checks:
Whether the adapter is configured to use DHCP or static addressing.

Why it works:
If DHCP is disabled, the client won’t request a lease and may be misconfigured.

Success indicates:
After setting DHCP enabled, /renew obtains a valid lease and connectivity returns.

Failure indicates:
DHCP remains disabled or static settings remain incorrect (wrong subnet/gateway/DNS).

Common pitfall:
Assuming the DHCP server is down when the client is simply not configured to use DHCP.","dhcp::basics dhcp::troubleshooting msp::scenario difficulty::tier2"
"Two users on the same floor: one works, one has 169.254.x.x. What is the BEST next move?

A. Reboot DHCP server
B. Compare ipconfig /all on working vs failing machines
C. Flush DNS on both machines
D. Reset both passwords","Correct Answer: B

Command(s) to run:
ipconfig /all (working)
ipconfig /all (failing)

What it checks:
IP range, gateway, DNS, DHCP Server, and adapter differences.

Why it works:
A known-good baseline reveals VLAN/SSID/port differences or rogue DHCP quickly.

Success indicates:
Working and failing configs match expected design; failing client then points to local link issue.

Failure indicates:
Failing client shows APIPA or different DHCP Server/IP range than working client.

Common pitfall:
Troubleshooting only the failing machine without comparing to a working one.","dhcp::troubleshooting dhcp::apipa msp::scenario difficulty::tier2"
"Wi‑Fi shows connected, but the client has 169.254.x.x. What is the most likely explanation?

A. Wi‑Fi auth succeeded but DHCP did not complete
B. DNS is down
C. Wrong gateway
D. Password expired","Correct Answer: A

Command(s) to run:
ipconfig /all
ipconfig /renew

What it checks:
Whether the client obtained a lease despite being associated to Wi‑Fi.

Why it works:
Association/authentication can succeed even if DHCP traffic is blocked or not available on that SSID/VLAN.

Success indicates:
After renew, client receives valid lease and can reach gateway/internet/internal resources as appropriate.

Failure indicates:
Renew fails or returns APIPA, indicating DHCP not reachable on that SSID/VLAN or scope exhausted.

Common pitfall:
Assuming 'connected' equals 'fully configured'.","dhcp::wireless dhcp::apipa msp::scenario difficulty::tier2"
"Which single command gives the most complete DHCP lease picture on Windows?

A. ipconfig
B. ipconfig /all
C. ping
D. nslookup","Correct Answer: B

Command(s) to run:
ipconfig /all

What it checks:
IP, mask, gateway, DNS, DHCP Server, lease obtained/expires, DHCP enabled.

Why it works:
DHCP issues often involve options (gateway/DNS), not just the IP address.

Success indicates:
All expected fields present and consistent with the site standard.

Failure indicates:
Missing/incorrect gateway/DNS, unexpected DHCP Server, DHCP disabled, or odd lease timing.

Common pitfall:
Using `ipconfig` short output and missing DHCP Server/lease details.","dhcp::basics dhcp::lease msp::scenario difficulty::tier2"
"User has a valid IP (not 169.254) but cannot reach the internet. What should you check FIRST?

A. Default gateway reachability
B. DNS records
C. Antivirus
D. Browser cache","Correct Answer: A

Command(s) to run:
ipconfig /all
ping <default-gateway>

What it checks:
Whether the default gateway is present, correct, and reachable.

Why it works:
Without a reachable gateway, off-subnet routing fails regardless of DNS.

Success indicates:
Gateway ping succeeds and gateway matches expected subnet design.

Failure indicates:
Gateway missing/wrong/unreachable → wrong scope option, wrong VLAN/port, or L2 issue.

Common pitfall:
Starting with DNS when routing is broken.","dhcp::gateway dhcp::troubleshooting msp::scenario difficulty::tier2"
"User can ping 8.8.8.8 but cannot reach google.com by name. In DHCP terms, what is MOST likely wrong?

A. Wrong gateway
B. Wrong DNS servers handed out
C. Lease expired
D. VLAN mismatch","Correct Answer: B

Command(s) to run:
ipconfig /all
ping 8.8.8.8
ping google.com

What it checks:
Whether DNS servers are present/correct when IP routing works.

Why it works:
DHCP distributes DNS servers; wrong DNS yields IP reachability but name failure.

Success indicates:
DNS servers corrected and names resolve after renew.

Failure indicates:
Names still fail; DNS servers missing/incorrect in ipconfig /all.

Common pitfall:
Blaming the ISP when it’s a DNS option issue.","dhcp::dns dhcp::troubleshooting msp::scenario difficulty::tier2"
"ipconfig /all shows Default Gateway is blank. What does that MOST likely indicate?

A. DNS cache stale
B. DHCP scope option for gateway missing/misconfigured
C. Malware
D. Subnet mask too small","Correct Answer: B

Command(s) to run:
ipconfig /all
ping 8.8.8.8

What it checks:
Whether a gateway was provided and whether off-subnet routing is possible.

Why it works:
Without a gateway, the client can only talk to its local subnet.

Success indicates:
Gateway appears correctly after renew and off-subnet ping succeeds.

Failure indicates:
Gateway stays blank and off-subnet pings fail, indicating DHCP option issue or static config.

Common pitfall:
Focusing on DNS when the gateway is missing.","dhcp::gateway dhcp::scope msp::scenario difficulty::tier2"
"Some users work; new devices get 169.254.x.x. What is a likely cause?

A. DHCP scope exhaustion
B. DNS poisoning
C. Proxy settings
D. Corrupt profile","Correct Answer: A

Command(s) to run:
ipconfig /all (new device)
ipconfig /all (existing device)

What it checks:
Whether new devices fail to obtain leases while existing leases remain valid.

Why it works:
Scope exhaustion blocks new leases but doesn’t immediately break existing ones.

Success indicates:
After scope expansion/freeing addresses, new devices obtain valid leases.

Failure indicates:
New devices remain APIPA; existing devices still work.

Common pitfall:
Assuming it’s cabling without recognizing the 'new devices only' pattern.","dhcp::scope dhcp::apipa msp::scenario difficulty::tier2"
